Winner,Team1,T1_Player1,T1_Player2,T1_Player3,T1_Player4,T1_Player5,Team2,T2_Player1,T2_Player2,T2_Player3,T2_Player4,T2_Player5,Team1_Score,Team2_Score,Map
Astralis,fnatic,KRIMZ,JW,Golden,Lekr0,flusha,Astralis,Xyp9x,dupreeh,Kjaerbye,device,gla1ve,Mirage
BIG,BIG,tabseN,nex,keev,gob b,LEGIJA,North,valde,aizy,k0nfig,cajunb,MSL,Cobblestone
SK,SK,TACO,FalleN,coldzera,felps,fer,FaZe,GuardiaN,NiKo,olofmeister,karrigan,rain,Cache
Cloud9,Virtus.pro,Snax,NEO,TaZ,pashaBiceps,byali,Cloud9,Stewie2K,autimatic,RUSH,Skadoodle,tarik,Mirage
Space Soldiers,Space Soldiers,paz,XANTARES,Calyx,MAJ3R,ngiN,Gambit,Dosia,AdreN,fitch,Hobbit,mou,Train
MVP PK,TYLOO,BnTeT,captainMo,DD,somebody,xccurate,MVP PK,zeff,HSK,solo,XigN,glow,Cobblestone
TYLOO,TYLOO,BnTeT,DD,captainMo,somebody,xccurate,MVP PK,glow,XigN,HSK,solo,zeff,Inferno
Space Soldiers,Space Soldiers,paz,Calyx,MAJ3R,XANTARES,ngiN,BIG,LEGIJA,tabseN,keev,gob b,nex,Cobblestone
MOUZ,Quantum Bellator Fire,Kvik,Boombl4,waterfaLLZ,jmqa,balblna,MOUZ,chrisJ,suNny,ropz,STYKO,oskar,Train
Limitless,Limitless,Remind,Kheops,RobbeN,Lyhn,Jada,NASR,KarriBob,k1tkat,breAker,Nami,h1x,Inferno
Astralis,Astralis,device,dupreeh,Xyp9x,Kjaerbye,gla1ve,Cloud9,RUSH,Skadoodle,autimatic,Stewie2K,tarik,Train
Asterion,Spirit,sdy,S0tF1k,Dima,DavCost,COLDYY1,Asterion,buue,Fearoth,Xaisty,oW^,kreaz,Inferno
Vega Squadron,Liquid,Twistzz,EliGE,jdm64,nitr0,zews,Vega Squadron,jR,keshandr,chopper,hutji,mir,Inferno
Hyper4mance,Octopus1,3ARK00Z,Jabz,havoK,Zerocool,admiral,Hyper4mance,Empera,Blue,Senpai,Potei,bramz,Cache
