Date,Teams,Score,Map,Event,Series
12-1-18,"['Quantum Bellator Fire', 'Natus Vincere']","['8', '16']",Inferno,ELEAGUE Major 2018 Challengers Stage,11016
13-1-18,"['G2', 'Flash']","['16', '11']",Inferno,ELEAGUE Major 2018 Challengers Stage,11015
13-1-18,"['Cloud9', 'Envy']","['16', '11']",Cache,ELEAGUE Major 2018 Challengers Stage,11014
13-1-18,"['Recca', 'Chosen5']","['19', '15']",Cache,WESG 2017 Asia-Pacific Regional Finals,11013
13-1-18,"['Recca', 'Chosen5']","['16', '5']",Cobblestone,WESG 2017 Asia-Pacific Regional Finals,11013
13-1-18,"['New4', 'SCARZ Absolute']","['16', '12']",Train,WESG 2017 Asia-Pacific Regional Finals,11012
13-1-18,"['New4', 'SCARZ Absolute']","['16', '10']",Mirage,WESG 2017 Asia-Pacific Regional Finals,11012
13-1-18,"['EMC', 'NSPR']","['3', '16']",Train,WESG 2017 Asia-Pacific Regional Finals,11011
13-1-18,"['NSPR', 'EMC']","['16', '9']",Mirage,WESG 2017 Asia-Pacific Regional Finals,11011
13-1-18,"['LEOPARD', 'ORDER']","['2', '16']",Inferno,WESG 2017 Asia-Pacific Regional Finals,11010
13-1-18,"['LEOPARD', 'ORDER']","['4', '16']",Cache,WESG 2017 Asia-Pacific Regional Finals,11010
13-1-18,"['Parallax', 'NSPR']","['17', '19']",Inferno,WESG 2017 Asia-Pacific Regional Finals,11009
13-1-18,"['NSPR', 'Parallax']","['16', '8']",Train,WESG 2017 Asia-Pacific Regional Finals,11009
13-1-18,"['MAX', 'ORDER']","['22', '20']",Train,WESG 2017 Asia-Pacific Regional Finals,11008
13-1-18,"['ORDER', 'MAX']","['16', '6']",Cache,WESG 2017 Asia-Pacific Regional Finals,11008
13-1-18,"['ORDER', 'MAX']","['16', '14']",Inferno,WESG 2017 Asia-Pacific Regional Finals,11008
13-1-18,"['BOOT-d[S]', 'Recca']","['10', '16']",Mirage,WESG 2017 Asia-Pacific Regional Finals,11007
13-1-18,"['Recca', 'BOOT-d[S]']","['15', '19']",Nuke,WESG 2017 Asia-Pacific Regional Finals,11007
13-1-18,"['Recca', 'BOOT-d[S]']","['14', '16']",Train,WESG 2017 Asia-Pacific Regional Finals,11007
13-1-18,"['New4', 'MVP PK']","['8', '16']",Inferno,WESG 2017 Asia-Pacific Regional Finals,11006
13-1-18,"['MVP PK', 'New4']","['14', '16']",Train,WESG 2017 Asia-Pacific Regional Finals,11006
13-1-18,"['MVP PK', 'New4']","['16', '14']",Mirage,WESG 2017 Asia-Pacific Regional Finals,11006
13-1-18,"['LEOPARD', 'EMC']","['12', '16']",Mirage,WESG 2017 Asia-Pacific Regional Finals,11005
13-1-18,"['EMC', 'LEOPARD']","['4', '16']",Cache,WESG 2017 Asia-Pacific Regional Finals,11005
