Date,Team1,Team2,Score,Map,Event,Series
8-1-19,"['x6tence Galaxy', 'Plopski', 'nawwk', 'Bååten', 'BARBARR', 'ZINKEN']","['Spirit', 'sdy', 'COLDYY1', 'S0tF1k', 'DavCost', 'Dima']","['16', '14']",Cache,ESEA MDL Season 29 Europe Relegation,8293
8-1-19,"['x6tence Galaxy', 'Plopski', 'nawwk', 'ZINKEN', 'Bååten', 'BARBARR']","['Spirit', 'sdy', 'S0tF1k', 'COLDYY1', 'DavCost', 'Dima']","['16', '3']",Mirage,ESEA MDL Season 29 Europe Relegation,8293
8-1-19,"['Bpro', 'niki1', 'Rock1nG', 'dennyslaw', 'Zix', 'NK4Y']","['HAVU', 'zehN', 'ZOREE', 'Twixie', 'disturbed', 'sAw']","['16', '9']",Train,ESEA MDL Season 29 Europe Relegation,8292
8-1-19,"['Bpro', 'Zix', 'niki1', 'Rock1nG', 'NK4Y', 'dennyslaw']","['HAVU', 'zehN', 'Twixie', 'ZOREE', 'sAw', 'disturbed']","['4', '16']",Dust2,ESEA MDL Season 29 Europe Relegation,8292
8-1-19,"['PACT', 'MOLSI', 'lunAtic', 'darko', 'Vegi', 'ToM223']","['Tricked', 'b0RUP', 'snedker', 'glace', 'acoR', 'Lukki']","['19', '17']",Cache,ESEA MDL Season 29 Europe Relegation,8291
8-1-19,"['PACT', 'MOLSI', 'lunAtic', 'darko', 'ToM223', 'Vegi']","['Tricked', 'b0RUP', 'acoR', 'Lukki', 'glace', 'snedker']","['9', '16']",Inferno,ESEA MDL Season 29 Europe Relegation,8291
8-1-19,"['forZe', 'facecrack', 'almazer', 'xsepower', 'FL1T', 'Jerry']","['Izako Boars', 'Patitek', 'nawrot', 'matty', 'NEEX', 'tecek']","['5', '16']",Dust2,ESEA MDL Season 29 Europe Relegation,8290
8-1-19,"['forZe', 'xsepower', 'FL1T', 'facecrack', 'almazer', 'Jerry']","['Izako Boars', 'Patitek', 'tecek', 'matty', 'nawrot', 'NEEX']","['2', '16']",Mirage,ESEA MDL Season 29 Europe Relegation,8290
8-1-19,"['forZe', 'xsepower', 'FL1T', 'Jerry', 'facecrack', 'almazer']","['Izako Boars', 'Patitek', 'tecek', 'NEEX', 'nawrot', 'matty']","['16', '5']",Inferno,ESEA MDL Season 29 Europe Relegation,8290
8-1-19,"['Endpoint', 'stan1ey', 'Thomas', 'Luzuh', 'Puls3', 'MiGHTYMAX']","['EURONICS', 'znajder', 'kolor', 'kzy', 'crisby', 'maRky']","['19', '17']",Overpass,ESEA MDL Season 29 Europe Relegation,8289
