,Winner,Team1,Team2,Team1_Score,Team2_Score,Map
15404,Formidable,Incept,Formidable,16,9,Dust2
15405,Incept,Skyfire,Incept,16,8,Overpass
15406,Incept,Incept,ex-MC Academy,16,11,Train
15407,Chiefs,Chiefs,Incept,16,12,Inferno
15408,Incept,Incept,MARKandLARRY,19,16,Overpass
15409,Incept,Skyfire,Incept,16,3,Train
15410,MARKandLARRY,Incept,MARKandLARRY,10,16,Dust2
15411,Formidable,Formidable,Incept,9,16,Dust2
15412,Incept,Incept,FURY,16,13,Inferno
15413,Incept,Rooster,Incept,16,3,Overpass
15414,TWA,Incept,TWA,10,16,Overpass
15415,Incept,Esper,Incept,13,16,Vertigo
15416,esea open,Incept,esea open,16,5,Mirage
15417,Incept,Paradox,Incept,16,7,Dust2
15418,Incept,Incept,Ground Zero,4,16,Dust2
15419,Incept,i sleep,Incept,16,6,Dust2
15420,MASSIVEimpact,Infamous,MASSIVEimpact,16,7,Nuke
15421,Infamous,Mythic,Infamous,16,7,Inferno
15422,Fragging for Andy,Infamous,Fragging for Andy,12,16,Cache
15423,The Fundamentals,The Fundamentals,Infamous,5,16,Mirage
15424,TeamOne,Infamous,TeamOne,11,16,Train
15425,Infamous,Bad News Bears,Infamous,16,2,Mirage
15426,Infamous,Infamous,Denial,16,11,Mirage
15427,Infamous,Singularity,Infamous,13,16,Nuke
15428,Hentai Heroes,Infamous,Hentai Heroes,16,2,Mirage
15429,Infamous,Hentai Heroes,Infamous,10,16,Overpass
15430,Infamous,Infamous,MASSIVEimpact,8,16,Mirage
15431,MASSIVEimpact,MASSIVEimpact,Infamous,16,11,Overpass
15432,Infamous,Infamous,Cyclone,16,11,Mirage
15433,Infamous,Party Astronauts,Infamous,16,6,Dust2
15434,Cyclone,Infamous,Cyclone,13,16,Inferno
15435,Infamous,Hysteria,Infamous,16,4,Nuke
15436,Infamous,Infamous,Cyclone,16,14,Train
15437,Hysteria,Hysteria,Infamous,7,16,Overpass
15438,Infamous,Infamous,Final Feature,8,16,Overpass
15439,Infamous,Bad News Bears,Infamous,16,6,Inferno
15440,Forty Six and 2,Infamous,Forty Six and 2,16,6,Train
15441,Old Guys Club,Old Guys Club,Infamous,16,10,Train
15442,Infamous,Infamous,Denial,8,16,Nuke
15443,Supremacy,Supremacy,Infamous,16,14,Train
15444,Infamous,Infamous,Denial,5,16,Inferno
15445,Supremacy,Supremacy,Infamous,16,10,Mirage
15446,Hysteria,Infamous,Hysteria,16,3,Mirage
15447,Infamous,Supremacy,Infamous,16,7,Train
15448,Bad News Bears,Infamous,Bad News Bears,32,34,Mirage
15449,Supremacy,Supremacy,Infamous,16,1,Dust2
15450,Infinity,Infinity,DETONA,9,16,Inferno
15451,Infinity,DETONA,Infinity,16,6,Nuke
15452,Denial,Infinity,Denial,14,16,Inferno
15453,Infinity,Denial,Infinity,17,19,Mirage
15454,Denial,Infinity,Denial,16,4,Train
15455,Infinity,Isurus,Infinity,16,9,Mirage
15456,Infinity,Infinity,Isurus,7,16,Dust2
15457,Infinity,Novacancy,Infinity,13,16,Mirage
15458,Infinity,Infinity,Denial,7,16,Inferno
15459,Infinity,Denial,Infinity,14,16,Train
15460,Infinity,Infinity,Novacancy,16,1,Mirage
15461,Denial,Denial,Infinity,16,13,Dust2
15462,Infinity,Infinity,Denial,16,12,Inferno
15463,Infinity,Novacancy,Infinity,15,19,Train
15464,Infinity,Infinity,Ghost,5,16,Nuke
15465,Denial,Denial,Infinity,16,10,Mirage
15466,Cloud9,Infinity,Cloud9,11,16,Inferno
15467,Infinity,Ghost,Infinity,16,7,Mirage
15468,eUnited,Infinity,eUnited,11,16,Nuke
15469,Infinity,Cloud9,Infinity,16,2,Train
15470,Infinity,Infinity,NONAME,16,11,Mirage
15471,eUnited,eUnited,Infinity,16,0,Dust2
15472,NONAME,Infinity,NONAME,16,9,Inferno
15473,Infinity,Lowkey,Infinity,16,4,Nuke
15474,DStreet,Infinity,DStreet,16,3,Inferno
15475,low mangoes,low mangoes,Infinity,4,16,Train
15476,NONAME,Infinity,NONAME,16,4,Mirage
15477,low mangoes,low mangoes,Infinity,8,16,Mirage
15478,Infinity,Infinity,NONAME,16,13,Train
15479,Volta7,Volta7,Infinity,2,16,Inferno
15480,Jaguar,Infinity,Jaguar,16,8,Dust2
15481,Infinity,Volta7,Infinity,1,16,Mirage
15482,Black Label Society,Infinity,Black Label Society,16,4,Inferno
15483,Luminosity,Luminosity,Infinity,16,11,Dust2
15484,INTZ,Infinity,INTZ,12,16,Overpass
15485,Jaguar,Jaguar,Infinity,16,12,Inferno
15486,Isurus,Infinity,Isurus,13,16,Mirage
15487,Jaguar,Jaguar,Infinity,8,16,Mirage
15488,Isurus,Infinity,Isurus,17,19,Inferno
15489,Infinity,Thunder Logic,Infinity,16,9,Train
15490,DETONA,Infinity,DETONA,13,16,Train
15491,Howl,Howl,Infinity,6,16,Dust2
15492,Infinity,Infinity,Sharks,5,16,Nuke
15493,Howl,Howl,Infinity,2,16,Train
15494,Envy,Infinity,Envy,10,16,Train
15495,Rulez,Rulez,Infinity,8,16,Dust2
15496,Singularity,Infinity,Singularity,12,16,Mirage
15497,Infinity,Rulez,Infinity,1,16,Inferno
15498,Hadouken,Infinity,Hadouken,16,8,Inferno
15499,Infinity,DETONA,Infinity,16,8,Inferno
15500,Infinity,Infinity,Hadouken,16,1,Mirage
15501,Sharks,Sharks,Infinity,16,13,Overpass
15502,Infinity,Infinity,Supremacy,16,10,Mirage
15503,DETONA,DETONA,Infinity,16,14,Overpass
15504,Supremacy,Infinity,Supremacy,16,4,Train
15505,DETONA,DETONA,Infinity,16,12,Dust2
15506,Infinity,Infinity,Supremacy,16,12,Mirage
15507,Infinity,Singularity,Infinity,16,3,Overpass
15508,Supremacy,Infinity,Supremacy,16,3,Inferno
15509,FreeStyle,FreeStyle,Infinity,4,16,Overpass
15510,Supremacy,Infinity,Supremacy,13,16,Inferno
15511,Infinity,FreeStyle,Infinity,0,16,Inferno
15512,Supremacy,Infinity,Supremacy,13,16,Train
15513,Infinity,Rugratz,Infinity,16,6,Inferno
15514,Infinity,Infinity,Ze Pug Godz,16,10,Inferno
15515,eUnited,eUnited,Infinity,16,10,Train
15516,Infinity,Infinity,Rugratz,3,16,Nuke
15517,Infinity,Mythic,Infinity,16,9,Dust2
15518,Infinity,Infinity,Divine,6,16,Dust2
15519,Infinity,Oceanus,Infinity,16,9,Train
15520,Brazen,Infinity,Brazen,14,16,Dust2
15521,Recon 5,Recon 5,Infinity,16,12,Train
15522,Infinity,Infinity,Swole Identity,5,16,Train
15523,Big Frames,Big Frames,Infinity,16,12,Mirage
15524,Infinity,Infinity,Bad News Bears,5,16,Overpass
15525,Infinity,LiViD,Infinity,16,7,Train
15526,Infinity,Infinity,Rugratz,4,16,Overpass
15527,Triumph,Triumph,Infinity,16,10,Dust2
15528,Monstars,Infinity,Monstars,16,7,Dust2
15529,New England Whalers,New England Whalers,Infinity,7,16,Inferno
15530,Infinity,Infinity,Chaos,8,16,Dust2
15531,Station7,Station7,Infinity,16,13,Inferno
15532,Infinity,Infinity,In The Lab,16,13,Mirage
15533,Divine,Divine,Infinity,16,14,Mirage
15534,Serac,Infinity,Serac,11,16,Nuke
15535,TeamOne,TeamOne,Infinity,16,14,Train
15536,Serac,Infinity,Serac,16,6,Inferno
15537,Infinity,Under 21,Infinity,16,7,Mirage
15538,Infinity,Infinity,Serac,16,12,Overpass
15539,Infinity,Thunder Logic,Infinity,14,16,Dust2
15540,Monstars,Infinity,Monstars,16,5,Dust2
15541,Polar Ace,Polar Ace,Infinity,16,12,Overpass
15542,Recon 5,Infinity,Recon 5,19,22,Inferno
15543,Infinity,Mythic,Infinity,16,9,Overpass
15544,Big Frames,Infinity,Big Frames,10,16,Mirage
15545,Infinity,Buffdaddy's Paypal,Infinity,13,16,Dust2
15546,Warriors International,Infinity,Warriors International,25,28,Dust2
15547,Infinity,Morning Light,Infinity,16,6,Overpass
15548,Inflames,Inflames,Reapers,16,12,Dust2
15549,DETONA,DETONA,Inflames,19,17,Inferno
15550,Redemption POA,Inflames,Redemption POA,16,8,Train
15551,Inflames,W7M,Inflames,16,3,Nuke
15552,INTZ.Academy,Inflames,INTZ.Academy,16,8,Mirage
15553,Inflames,WePlayGames,Inflames,14,16,Inferno
15554,Inflames,Inflames,DETONA,8,16,Mirage
15555,Inflames,Reapers,Inflames,10,16,Train
15556,W7M,Inflames,W7M,13,16,Vertigo
15557,Inflames,paiN,Inflames,16,3,Train
15558,WePlayGames,Inflames,WePlayGames,16,9,Overpass
15559,Inflames,paiN,Inflames,19,22,Inferno
15560,Itakera Classic,Inflames,Itakera Classic,16,6,Mirage
15561,Inflames,W7M,Inflames,14,16,Inferno
15562,Reapers,Inflames,Reapers,14,16,Dust2
15563,Inflames,Redemption POA,Inflames,16,6,Train
15564,Reapers,Inflames,Reapers,16,7,Mirage
15565,Inflames,Redemption POA,Inflames,14,16,Mirage
15566,Inflames,Inflames,paiN,9,16,Nuke
15567,SpaceStress,SpaceStress,Inflames,8,16,Inferno
15568,Inflames,Inflames,W7M,8,16,Overpass
15569,Sharks,Sharks,Inflames,16,12,Train
15570,W7M,Inflames,W7M,12,16,Mirage
15571,Sharks,Sharks,Inflames,19,17,Mirage
15572,Inflames,Inflames,DETONA,19,17,Inferno
15573,TRZ,TRZ,Inflames,2,16,Mirage
15574,Inflames,Inflames,Redemption POA,19,16,Dust2
15575,Inflames,Redemption POA,Inflames,10,16,Mirage
15576,Inflames,Inflames,SpaceStress,16,1,Nuke
15577,9z,9z,Inflames,3,16,Inferno
15578,Sharks,Inflames,Sharks,16,6,Inferno
15579,Inflames,INTZ,Inflames,16,9,Dust2
15580,TRZ,Inflames,TRZ,16,5,Inferno
15581,Redemption POA,Redemption POA,Inflames,2,16,Dust2
15582,Inside,Inside,Universe,5,16,Inferno
15583,Inside,Universe,Inside,15,19,Overpass
15584,Inside,Inside,eSuba,16,14,Mirage
15585,Inside,Universe,Inside,13,16,Mirage
15586,Inside,Inside,eSuba,8,16,Nuke
15587,eSuba,eSuba,Inside,16,11,Overpass
15588,Invictus,Invictus,AUGUST,16,14,Nuke
15589,Invictus,AUGUST,Invictus,15,19,Train
15590,Invictus,Invictus,5POWER,16,14,Dust2
15591,Invictus,5POWER,Invictus,16,19,Train
15592,Invictus,Invictus,wNv,16,12,Vertigo
15593,wNv,wNv,Invictus,8,16,Mirage
15594,5POWER,Invictus,5POWER,12,16,Dust2
15595,5POWER,5POWER,Invictus,4,16,Mirage
15596,Invictus,Invictus,JiJieHao,16,12,Mirage
15597,Invictus,5POWER,Invictus,11,16,Train
15598,Invictus,Invictus,TYLOO,19,17,Overpass
15599,Invictus,JiJieHao,Invictus,13,16,Train
15600,Invictus,Invictus,ViCi,9,16,Nuke
15601,Invictus,TYLOO,Invictus,14,16,Train
15602,Invictus,Invictus,ViCi,6,16,Overpass
15603,Invictus,ViCi,Invictus,13,16,Train
15604,Invictus,Invictus,TYLOO,16,11,Dust2
15605,Invictus,TYLOO,Invictus,11,16,Train
15606,Invictus,Invictus,ViCi,8,16,Vertigo
15607,Invictus,ViCi,Invictus,12,16,Mirage
15608,ViCi,Invictus,ViCi,13,16,Nuke
15609,Invictus,Bren,Invictus,16,9,Dust2
15610,Invictus,Invictus,Bren,16,13,Nuke
15611,Invictus,BOOT,Invictus,16,5,Train
15612,Bren,Invictus,Bren,16,8,Mirage
15613,Lucid Dream,Lucid Dream,Invictus,16,14,Mirage
15614,BOOT,Invictus,BOOT,11,16,Vertigo
15615,Invictus,Lucid Dream,Invictus,10,16,Overpass
15616,Lucid Dream,Invictus,Lucid Dream,16,2,Nuke
15617,Invictus,Bren,Invictus,16,19,Mirage
15618,Invictus,Invictus,Bren,16,13,Train
15619,BOOT,BOOT,Invictus,8,16,Mirage
15620,BOOT,Invictus,BOOT,16,9,Vertigo
15621,TYLOO,TYLOO,Invictus,19,16,Train
15622,Invictus,Invictus,TYLOO,16,10,Overpass
15623,Invictus,EHOME,Invictus,13,16,Train
15624,Invictus,Invictus,TYLOO,16,13,Mirage
15625,Invictus,TYLOO,Invictus,16,9,Dust2
15626,Invictus,Invictus,TYLOO,7,16,Dust2
15627,TYLOO,TYLOO,Invictus,16,11,Train
15628,EHOME,Invictus,EHOME,16,6,Nuke
15629,Invictus,Lynn Vision,Invictus,12,16,Nuke
15630,Invictus,Invictus,Lynn Vision,16,13,Dust2
15631,Thirteen,Thirteen,Invictus,6,16,Train
15632,EHOME,Invictus,EHOME,16,9,Overpass
15633,Thirteen,Thirteen,Invictus,3,16,Dust2
15634,EHOME,Invictus,EHOME,16,5,Train
15635,OneThree,OneThree,Invictus,9,16,Nuke
15636,Thirteen,Invictus,Thirteen,13,16,Vertigo
15637,TYLOO,TYLOO,Invictus,6,16,Mirage
15638,OneThree,Invictus,OneThree,16,8,Train
15639,TYLOO,TYLOO,Invictus,22,18,Train
15640,Invictus,Invictus,TYLOO,9,16,Dust2
15641,Invictus,ViCi,Invictus,12,16,Train
15642,Invictus,Invictus,ViCi,16,14,Nuke
15643,MVP PK,MVP PK,Invictus,4,16,Train
15644,Invictus,Invictus,MVP PK,16,10,Dust2
15645,mousesports,mousesports,Invictus,16,14,Dust2
15646,Invictus,Invictus,Vitality,3,16,Nuke
15647,mousesports,mousesports,Invictus,16,14,Train
15648,Invictus,Invictus,Vitality,3,16,Mirage
15649,Invictus,Lynn Vision,Invictus,10,16,Nuke
15650,Invictus,Invictus,Lynn Vision,16,13,Vertigo
15651,Invictus,EHOME,Invictus,16,9,Train
15652,Lynn Vision,Invictus,Lynn Vision,10,16,Dust2
15653,D7G,D7G,Invictus,8,16,Dust2
15654,EHOME,Invictus,EHOME,14,16,Nuke
15655,Invictus,D7G,Invictus,10,16,Mirage
15656,5POWER,Invictus,5POWER,12,16,Overpass
15657,Invictus,5POWER,Invictus,12,16,Mirage
15658,Invictus,Invictus,OneThree,16,14,Mirage
15659,Invictus,5POWER,Invictus,16,9,Dust2
15660,MiTH.Maple,Invictus,MiTH.Maple,16,4,Overpass
15661,OneThree,OneThree,Invictus,16,12,Nuke
15662,Invictus,Invictus,5POWER,7,16,Dust2
15663,MiTH.Maple,MiTH.Maple,Invictus,9,16,Train
15664,Invictus,Invictus,Alpha Red,16,12,Overpass
15665,Invictus,5POWER,Invictus,16,6,Train
15666,TYLOO,Invictus,TYLOO,14,16,Dust2
15667,Alpha Red,Alpha Red,Invictus,7,16,Train
15668,Invictus,Invictus,Lucid Dream,16,14,Mirage
15669,Invictus,TYLOO,Invictus,16,6,Train
15670,Invictus,Invictus,TYLOO,8,16,Dust2
15671,Lucid Dream,Lucid Dream,Invictus,16,10,Nuke
15672,TYLOO,Invictus,TYLOO,14,16,Mirage
15673,Lucid Dream,Lucid Dream,Invictus,16,11,Dust2
15674,BTRG,Invictus,BTRG,16,5,Mirage
15675,ahq,ahq,Invictus,8,16,Mirage
15676,Invictus,Invictus,BTRG,16,13,Train
15677,DMC,DMC,Invictus,8,16,Mirage
15678,Invictus,Invictus,OneThree,6,16,Overpass
15679,Invictus,4Bowie,Invictus,11,16,Mirage
15680,OneThree,Invictus,OneThree,11,16,Train
15681,NAVI Junior,NAVI Junior,Invictus,8,16,Mirage
15682,Invictus,Invictus,Lynn Vision,5,16,Dust2
15683,Invictus,NAVI Junior,Invictus,16,3,Vertigo
15684,Macau Legend,Invictus,Macau Legend,16,9,Mirage
15685,Invictus,NAVI Junior,Invictus,19,22,Train
15686,Invictus,Invictus,R-Stars,4,16,Train
15687,Invictus,Juggernauts,Invictus,16,8,Mirage
15688,R-Stars,Invictus,R-Stars,12,16,Mirage
15689,Juggernauts,Juggernauts,Invictus,16,11,Train
15690,Invictus,Invictus,R-Stars,16,12,Dust2
15691,Invictus,NAVI Junior,Invictus,14,16,Mirage
15692,R-Stars,Invictus,R-Stars,14,16,Train
15693,MiTH.Maple,MiTH.Maple,Invictus,16,12,Mirage
15694,Invictus,Invictus,Juggernauts,16,12,Nuke
15695,Invictus,OneThree,Invictus,12,16,Train
15696,Invictus,Invictus,NAVI Junior,16,13,Inferno
15697,Invictus,JiJieHao,Invictus,12,16,Overpass
15698,Nemiga,Invictus,Nemiga,14,16,Mirage
15699,Invictus,EHOME,Invictus,16,4,Mirage
15700,Nemiga,Invictus,Nemiga,12,16,Nuke
15701,EHOME,EHOME,Invictus,16,14,Nuke
15702,MiTH.Maple,Invictus,MiTH.Maple,12,16,Overpass
15703,Invictus,Lynn Vision,Invictus,10,16,Train
15704,Invictus,Invictus,OneThree,2,16,Inferno
15705,Lynn Vision,Lynn Vision,Invictus,16,14,Inferno
15706,Invictus,Invictus,OneThree,8,16,Mirage
15707,Invictus,ZIGMA,Invictus,16,9,Inferno
15708,JiJieHao,Invictus,JiJieHao,21,25,Mirage
15709,ZIGMA,ZIGMA,Invictus,16,12,Inferno
15710,Invictus,Invictus,JiJieHao,5,16,Dust2
15711,ZIGMA,ZIGMA,Invictus,16,11,Train
15712,Lynn Vision,Invictus,Lynn Vision,14,16,Mirage
15713,ZIGMA,ZIGMA,Invictus,7,16,Overpass
15714,Isurus,Isurus,INTZ.Academy,16,12,Mirage
15715,Santos,Santos,Isurus,16,11,Dust2
15716,INTZ.Academy,Isurus,INTZ.Academy,13,16,Overpass
15717,Isurus,Santos,Isurus,10,16,Inferno
15718,Isurus,Isurus,INTZ.Academy,8,16,Dust2
15719,DETONA,DETONA,Isurus,3,16,Nuke
15720,Santos,Isurus,Santos,13,16,Mirage
15721,Isurus,Sharks,Isurus,12,16,Dust2
15722,Evidence,Isurus,Evidence,16,6,Inferno
15723,Isurus,W7M,Isurus,20,22,Inferno
15724,DETONA,Isurus,DETONA,16,5,Mirage
15725,Isurus,W7M,Isurus,12,16,Nuke
15726,Sharks,Isurus,Sharks,16,4,Train
15727,Isurus,Furious,Isurus,16,3,Nuke
15728,Isurus,Isurus,2anosOLD,16,14,Inferno
15729,Isurus,FULL SEND,Isurus,13,16,Dust2
15730,Isurus,Isurus,Imperial,16,10,Dust2
15731,FULL SEND,FULL SEND,Isurus,3,16,Inferno
15732,Furious,Isurus,Furious,16,7,Inferno
15733,Isurus,WePlayGames,Isurus,10,16,Overpass
15734,Isurus,Isurus,Furious,19,17,Overpass
15735,Isurus,Imperial,Isurus,12,16,Overpass
15736,Isurus,Isurus,WePlayGames,16,10,Train
15737,W7M,W7M,Isurus,25,23,Nuke
15738,Isurus,Isurus,Imperial,6,16,Train
15739,Isurus,W7M,Isurus,11,16,Overpass
15740,Isurus,Isurus,Imperial,22,18,Mirage
15741,W7M,W7M,Isurus,16,14,Mirage
15742,Sharks,Isurus,Sharks,16,2,Dust2
15743,Isurus,DETONA,Isurus,14,16,Train
15744,Sharks,Isurus,Sharks,16,2,Train
15745,Isurus,W7M,Isurus,11,16,Overpass
15746,W7M,Isurus,W7M,12,16,Inferno
15747,W7M,W7M,Isurus,16,11,Mirage
15748,Isurus,Isurus,W7M,16,12,Mirage
15749,WePlayGames,WePlayGames,Isurus,6,16,Mirage
15750,Isurus,Isurus,RED Canids,16,14,Nuke
15751,Santos,Santos,Isurus,2,16,Mirage
15752,Isurus,Isurus,RED Canids,16,14,Dust2
15753,Denial,Denial,Isurus,2,16,Overpass
15754,Isurus,Isurus,DETONA,16,12,Mirage
15755,Isurus,DETONA,Isurus,16,8,Inferno
15756,W7M,Isurus,W7M,10,16,Inferno
15757,Infinity,Infinity,Isurus,7,16,Dust2
15758,Denial,Isurus,Denial,16,8,Inferno
15759,Isurus,Complexity,Isurus,16,19,Train
15760,DETONA,Isurus,DETONA,14,16,Mirage
15761,Complexity,Complexity,Isurus,8,16,Dust2
15762,Isurus,Isurus,DETONA,16,12,Dust2
15763,Isurus,ENCE,Isurus,16,4,Inferno
15764,Infinity,Isurus,Infinity,16,9,Mirage
15765,Isurus,TRZ,Isurus,11,16,Overpass
15766,MIBR,Isurus,MIBR,10,16,Dust2
15767,Isurus,Falkol,Isurus,10,16,Mirage
15768,MIBR,Isurus,MIBR,14,16,Overpass
15769,9z,9z,Isurus,2,16,Overpass
15770,Isurus,Isurus,Renegades,9,16,Mirage
15771,Isurus,INTZ,Isurus,16,8,Train
15772,Isurus,Isurus,Renegades,4,16,Dust2
15773,Isurus,W7M,Isurus,11,16,Train
15774,Complexity,Isurus,Complexity,11,16,Nuke
15775,Santos,Santos,Isurus,2,16,Nuke
15776,Isurus,Isurus,Renegades,16,13,Dust2
15777,Redemption POA,Redemption POA,Isurus,2,16,Inferno
15778,Isurus,Isurus,Renegades,4,16,Mirage
15779,Isurus fe,RED Canids,Isurus fe,16,4,Overpass
15780,Isurus,Isurus,Renegades,5,16,Inferno
15781,INTZ.Academy,INTZ.Academy,Isurus,5,16,Overpass
15782,TRZ,Isurus,TRZ,16,2,Nuke
15783,DETONA,DETONA,Isurus,4,16,Inferno
15784,Isurus,Isurus,Falkol,16,11,Overpass
15785,Keyd,Keyd,Isurus,4,16,Inferno
15786,Isurus,Isurus,9z,16,0,Dust2
15787,DETONA,DETONA,Isurus,16,10,Mirage
15788,Isurus,Isurus,Sharks,16,11,Train
15789,Isurus,RUFUS,Isurus,12,16,Overpass
15790,Isurus,Isurus,Sharks,9,16,Dust2
15791,DETONA,DETONA,Isurus,8,16,Mirage
15792,Sharks,Isurus,Sharks,14,16,Mirage
15793,Isurus,DETONA,Isurus,10,16,Inferno
15794,Isurus,Isurus,INTZ,9,16,Dust2
15795,W7M,W7M,Isurus,16,10,Mirage
15796,Isurus,Isurus,EOX,16,14,Train
15797,Isurus,paiN,Isurus,16,4,Inferno
15798,Isurus,Isurus,RED Canids,19,15,Nuke
15799,Keyd,Keyd,Isurus,8,16,Inferno
15800,RED Canids,Isurus fe,RED Canids,1,16,Nuke
15801,RED Canids,RED Canids,Isurus,8,16,Overpass
15802,Isurus,Isurus,paiN,16,11,Inferno
15803,Isurus,Infinity,Isurus,13,16,Mirage
15804,Bulldozer,Isurus,Bulldozer,16,8,Inferno
15805,Isurus,Infinity,Isurus,17,19,Inferno
15806,Isurus,Isurus,paiN,16,14,Overpass
15807,Sharks,Sharks,Isurus,16,13,Inferno
15808,RED Canids,Isurus,RED Canids,16,4,Inferno
15809,DETONA,DETONA,Isurus,16,10,Train
15810,Isurus,Isurus,Reapers,16,1,Inferno
15811,Isurus,DETONA,Isurus,14,16,Nuke
15812,Isurus,Isurus,Bulldozer,22,20,Dust2
15813,Isurus,W7M,Isurus,16,8,Nuke
15814,Isurus,Isurus,RUFUS,16,10,Mirage
15815,Isurus,paiN,Isurus,12,16,Overpass
15816,paiN,Isurus,paiN,14,16,Nuke
15817,Isurus,RED Canids,Isurus,14,16,Overpass
15818,Isurus,Isurus,paiN,4,16,Overpass
15819,Keyd,Keyd,Isurus,16,12,Nuke
15820,W7M,Isurus,W7M,12,16,Inferno
15821,Isurus,FURIA,Isurus,16,4,Overpass
15822,paiN,Isurus,paiN,13,16,Overpass
15823,Isurus,100 Thieves,Isurus,16,5,Inferno
15824,Isurus,Isurus,Keyd,4,16,Dust2
15825,Isurus,eUnited,Isurus,16,9,Overpass
15826,RED Canids,Isurus,RED Canids,16,19,Train
15827,DETONA,DETONA,Isurus,9,16,Nuke
15828,Sharks,Isurus,Sharks,10,16,Nuke
15829,9z,9z,Isurus,9,16,Mirage
15830,DETONA,Isurus,DETONA,13,16,Dust2
15831,Isurus,Alma,Isurus,12,16,Overpass
15832,Isurus,Isurus,DETONA,16,12,Inferno
15833,Isurus,RED Canids,Isurus,12,16,Overpass
15834,Isurus,Isurus,INTZ.Academy,8,16,Dust2
15835,RED Canids,RED Canids,Isurus,5,16,Dust2
15836,Isurus,Isurus,W7M,8,16,Mirage
15837,DETONA,DETONA,Isurus,16,13,Train
15838,Isurus,Isurus,paiN,16,14,Inferno
15839,RED Canids,RED Canids,Isurus,16,10,Dust2
15840,RED Canids,Isurus,RED Canids,12,16,Nuke
15841,Isurus,paiN,Isurus,16,9,Dust2
15842,Keyd,Isurus,Keyd,13,16,Inferno
15843,paiN,paiN,Isurus,4,16,Overpass
15844,Isurus,Isurus,FURIA,8,16,Nuke
15845,Imperial,Imperial,Isurus,6,16,Overpass
15846,Isurus,Isurus,100 Thieves,9,16,Mirage
15847,Isurus,RED Canids,Isurus,16,3,Train
15848,Isurus,Isurus,eUnited,8,16,Nuke
15849,RED Canids,RED Canids,Isurus,16,10,Overpass
15850,RED Canids,Isurus,RED Canids,16,7,Nuke
15851,Isurus,BOOM,Isurus,16,4,Overpass
15852,RUFUS,Isurus,RUFUS,16,9,Overpass
15853,Keyd,Keyd,Isurus,7,16,Inferno
15854,DETONA,Isurus,DETONA,14,16,Dust2
15855,Isurus,DETONA,Isurus,16,9,Inferno
15856,Isurus,Isurus,DETONA,9,16,Mirage
15857,Isurus,Imperial,Isurus,13,16,Nuke
15858,Isurus,Isurus,NOORG,16,13,Inferno
15859,Imperial,Imperial,Isurus,9,16,Inferno
15860,NOORG,Isurus,NOORG,16,4,Overpass
15861,Isurus,RED Canids,Isurus,16,7,Dust2
15862,Isurus,Isurus,9z,22,19,Overpass
15863,Isurus,RED Canids,Isurus,13,16,Nuke
15864,Alma,Isurus,Alma,16,5,Train
15865,Isurus,BOOM,Isurus,16,9,Inferno
15866,Isurus,Isurus,Neverest,22,19,Nuke
15867,Imperial,Imperial,Isurus,19,16,Dust2
15868,Isurus,Isurus,Neverest,16,13,Inferno
15869,Isurus,Imperial,Isurus,10,16,Nuke
15870,RED Canids,Isurus,RED Canids,16,19,Mirage
15871,Isurus,BOOM,Isurus,16,6,Nuke
15872,Isurus,Isurus,DETONA,16,11,Nuke
15873,Isurus,Bravos,Isurus,16,7,Nuke
15874,DETONA,Isurus,DETONA,16,8,Inferno
15875,Soberano,Soberano,Isurus,5,16,Inferno
15876,Redemption POA,Isurus,Redemption POA,12,16,Overpass
15877,Isurus,RED Canids,Isurus,14,16,Nuke
15878,NOM,Italy,NOM,13,16,Dust2
15879,Italy,Portal,Italy,10,16,Dust2
15880,NOM,Italy,NOM,14,16,Inferno
15881,Italy,Aequus,Italy,16,5,Mirage
15882,Portal,Italy,Portal,16,5,Mirage
15883,Aequus,Aequus,Italy,16,12,Inferno
15884,Area51,Italy,Area51,14,16,Overpass
15885,Italy,Warzone,Italy,11,16,Mirage
15886,Area51,Italy,Area51,13,16,Dust2
15887,Italy,Warzone,Italy,12,16,Overpass
15888,Italy,Italy,Area51,16,11,Train
15889,Area51,Area51,Italy,5,16,Mirage
15890,Tricked,Izako Boars,Tricked,17,19,Train
15891,Tricked,Tricked,Izako Boars,6,16,Dust2
15892,Izako Boars,Izako Boars,forZe,2,16,Mirage
15893,Tricked,Tricked,Izako Boars,9,16,Cache
15894,Izako Boars,Izako Boars,Arena Bulls,16,11,Mirage
15895,forZe,forZe,Izako Boars,5,16,Dust2
15896,Izako Boars,Izako Boars,Endpoint,16,12,Overpass
15897,Izako Boars,forZe,Izako Boars,16,5,Inferno
15898,Endpoint,Izako Boars,Endpoint,16,6,Mirage
15899,Izako Boars,Arena Bulls,Izako Boars,14,16,Cache
15900,x-kom,Izako Boars,x-kom,16,8,Mirage
15901,Izako Boars,Arena Bulls,Izako Boars,16,8,Overpass
15902,Izako Boars,Izako Boars,AGO,16,13,Mirage
15903,Endpoint,Endpoint,Izako Boars,16,10,Dust2
15904,Movistar Riders,Izako Boars,Movistar Riders,15,19,Train
15905,Izako Boars,x-kom,Izako Boars,16,5,Overpass
15906,Izako Boars,Izako Boars,ex-Fragsters,16,13,Train
15907,Izako Boars,x-kom,Izako Boars,16,9,Cache
15908,Izako Boars,Izako Boars,ALTERNATE aTTaX,6,16,Train
15909,Sprout,Sprout,Izako Boars,16,12,Cache
