Winner,Team1,Team2,Team1_Score,Team2_Score
MANS NOT HOT,MANS NOT HOT,Windigo,8,16
GoldenGitte,GoldenGitte,LPSP,8,16
LPSP,LPSP,GoldenGitte,16,10
Signature,BOOT-d S ,Signature,16,7
Signature,Signature,BOOT-d S ,16,12
Signature,BOOT-d S ,Signature,17,19
MVP PK,Flash,MVP PK,10,16
Flash,Flash,MVP PK,8,16
TYLOO,TYLOO,MVP PK,8,16
TYLOO,MVP PK,TYLOO,16,19
TYLOO,TYLOO,MVP PK,16,11
TheMongolz,Signature,TheMongolz,16,6
TheMongolz,Signature,TheMongolz,14,16
Signature,Signature,TheMongolz,16,14
Vega Squadron,Vega Squadron,North,16,10
Virtus.pro,Virtus.pro,Quantum Bellator Fire,3,16
BIG,Liquid,BIG,16,5
KoN Norway,KoN Finland,KoN Norway,10,16
fnatic,fnatic,FaZe,8,16
KoN Denmark,KoN Norway,KoN Denmark,16,7
Astralis,Astralis,mousesports,2,16
KoN Norway,KoN Norway,KoN Sweden,16,10
Cloud9,G2,Cloud9,16,8
Natus Vincere,Natus Vincere,Gambit,5,16
SK,Space Soldiers,SK,13,16
Athletico,ORDER,Athletico,16,4
Athletico,Athletico,ORDER,5,16
Corvidae,Corvidae,Tainted Minds,6,16
Corvidae,Corvidae,Tainted Minds,9,16
BOOT-d S ,BOOT-d S ,MVP PK,8,16
MVP PK,MVP PK,BOOT-d S ,5,16
BOOT-d S ,MVP PK,BOOT-d S ,16,7
Flash,TheMongolz,Flash,12,16
TheMongolz,Flash,TheMongolz,10,16
Flash,Flash,TheMongolz,16,12
TYLOO,TYLOO,Signature,16,14
TYLOO,Signature,TYLOO,10,16
Damage Control,ZAG,Damage Control,1,16
Sinister5,Bravado,Sinister5,16,4
OK.Blaze,OK.Blaze,LeetPro,6,16
Energy,Energy,Skeletons Again,16,10
HAVU,ALTERNATE aTTaX,HAVU,14,16
ALTERNATE aTTaX,HAVU,ALTERNATE aTTaX,16,7
Damage Control,LeetPro,Damage Control,10,16
Damage Control,LeetPro,Damage Control,17,19
Capcorn,XCN,Capcorn,16,2
XCN,Capcorn,XCN,10,16
Power Ace,Power Ace,Lucid Dream,3,16
Power Ace,Lucid Dream,Power Ace,16,4
Quantum Bellator Fire,Quantum Bellator Fire,Gambit,19,16
Space Soldiers,Cloud9,Space Soldiers,13,16
Vega Squadron,FaZe,Vega Squadron,16,3
Liquid,G2,Liquid,16,8
SK,mousesports,SK,12,16
Virtus.pro,Virtus.pro,fnatic,6,16
Natus Vincere,Natus Vincere,BIG,16,1
Astralis,Astralis,North,16,14
ORDER,ORDER,Grayhound,16,10
ORDER,Grayhound,ORDER,16,9
ORDER,Grayhound,ORDER,14,16
Complexity,BlackOut,Complexity,13,16
F1-racecar-PEEK,Ghost,F1-racecar-PEEK,16,7
Tainted Minds,Chiefs,Tainted Minds,13,16
Chiefs,Tainted Minds,Chiefs,16,5
Etherian,Rogue,Etherian,13,16
MVP PK,Flash,MVP PK,11,16
Flash,MVP PK,Flash,16,5
Energy,Energy,Bravado,16,11
Bravado,Bravado,Energy,16,10
Energy,Bravado,Energy,16,2
MVP PK,MVP PK,Signature,7,16
MVP PK,Signature,MVP PK,13,16
Signature,Signature,MVP PK,3,16
Lucid Dream,XCN,Lucid Dream,10,16
XCN,Lucid Dream,XCN,16,4
Vega Squadron,mousesports,Vega Squadron,16,3
pro100,HEY,pro100,16,8
Liquid,Liquid,Natus Vincere,9,16
Damage Control,Damage Control,Bravado,4,16
Damage Control,Bravado,Damage Control,16,5
Damage Control,Bravado,Damage Control,16,6
Quantum Bellator Fire,Quantum Bellator Fire,G2,4,16
HEY,HEY,AVANGAR,19,17
Astralis,fnatic,Astralis,16,8
BIG,BIG,North,16,12
FaZe,FaZe,SK,16,12
Virtus.pro,Cloud9,Virtus.pro,16,7
RONIN,Splyce,RONIN,16,8
Gambit,Gambit,Space Soldiers,16,13
Ghost,Complexity,Ghost,16,6
Etherian,Etherian,Splyce,9,16
Splyce,Complexity,Splyce,10,16
Complexity,Splyce,Complexity,16,2
Chiefs,Chiefs,Athletico,7,16
Athletico,Athletico,Chiefs,9,16
Chiefs,Athletico,Chiefs,13,16
Corvidae,Corvidae,Grayhound,6,16
Corvidae,Grayhound,Corvidae,16,5
MVP PK,TYLOO,MVP PK,16,4
TYLOO,TYLOO,MVP PK,16,11
BIG,BIG,Space Soldiers,8,16
Quantum Bellator Fire,mousesports,Quantum Bellator Fire,14,16
Limitless,Limitless,NASR,16,11
Astralis,Astralis,Cloud9,6,16
Spirit,Asterion,Spirit,16,6
Stifmeister,Red Reserve,Stifmeister,16,8
Vega Squadron,Liquid,Vega Squadron,12,16
Octopus1,Hyper4mance,Octopus1,16,6
Octopus1,Octopus1,Hyper4mance,16,14
Hyper4mance,Hyper4mance,Octopus1,25,22
SK,SK,Gambit,16,10
fnatic,Natus Vincere,fnatic,16,7
Gambit,Gambit,fnatic,2,16
Vega Squadron,Cloud9,Vega Squadron,16,4
mousesports,mousesports,Space Soldiers,16,13
Tainted Minds,Tainted Minds,ORDER,16,10
ORDER,ORDER,Tainted Minds,5,16
UYA,UYA,ex-NSPR,16,12
Corvidae,Corvidae,MC,16,11
Grayhound,Chiefs,Grayhound,16,7
Chiefs,Grayhound,Chiefs,16,4
Grayhound,Grayhound,Chiefs,16,1
GameTV,GameTV,Signature,6,16
Riotous Academy,Carnage,Riotous Academy,16,8
Red Wolf,Red Wolf,EHOME,5,16
Champagne SuperNova,Champagne SuperNova,5POWER,7,16
Nemiga,EPG,Nemiga,16,5
Atlas Lions,RvN,Atlas Lions,16,9
Atlas Lions,Atlas Lions,RvN,16,13
RvN,RvN,Atlas Lions,16,13
Anonymous,Anonymous,5randoms,3,16
Anonymous,Anonymous,5randoms,16,11
